scene_id,script_source,tts_provider,voice_id,relative_path,sha256,bytes,status,audio_qa,license_status,notes
SCN-GENESIS-001-01,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-01_voice-00_draft.mp3,ed5b19bde74f3192dc820ff121c13151fd29a767caeb2ef33682e15f2d57ed78,118893,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-02,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-02_voice-00_draft.mp3,0bbbcbe1a3badbf81566918d02041ba533cafe98fe16111ad0dafd7a7994eee9,111021,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-03,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-03_voice-00_draft.mp3,b75db8ef1b611eb15174c4d7cff26e363968b66480236afdca5ce73778f56b08,145869,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-04,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-04_voice-00_draft.mp3,162385727fa78ac5986232ce9534eaf7bc043b4e6f9294cfef3f7e49976b26b4,113133,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-05,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-05_voice-00_draft.mp3,b5a9ee182c44621a5b85375a842e12ff0792411457cddf05c728ae4d598a2217,124269,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-06,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-06_voice-00_draft.mp3,c376600c450ddf33c3281f89d9b72c6b3cc2c0df0523be2aacb294bb030ebfa6,124653,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-07,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-07_voice-00_draft.mp3,c41cc8c5873ee6ec8b95994194489fc6829ac348921eed8b5d8e7d7a5159c37a,130413,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-08,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-08_voice-00_draft.mp3,9dc4823643ae4b03636234d7ab41846287abe7de8f7215ed24c509988fd0303f,139053,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-09,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-09_voice-00_draft.mp3,efdb84e649804b2a288f79dc3dcd7a0e8cf187be4436ed0a1a30995f231181c8,137133,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-10,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,audio/GENESIS-001/draft/SCN-GENESIS-001-10_voice-00_draft.mp3,e78ccd045fa7b940b344af6a50db6f3de6854919b1c74ad32759e77a4bf7678b,131181,generated_draft,pending_listen_and_technical_qa,terms_not_documented_not_final,Batch 01 generated 2026-09-02 America/Sao_Paulo.
SCN-GENESIS-001-11,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-12,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-13,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-14,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-15,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-16,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-17,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-18,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-19,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-20,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-21,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
SCN-GENESIS-001-22,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,Arena speech synthesis,voice-00,,,,pending_generation,not_started,terms_not_documented_not_final,Deferred because synthesis is limited to 10 clips per turn.
