segment_id,scene_ids,script_source,text_characters,tts_provider,voice_id,relative_path,sha256,bytes,sample_rate_hz,duration_seconds,mp3_frames,status,audio_qa,license_status,notes
GENESIS-001-SEG-01,SCN-GENESIS-001-01;SCN-GENESIS-001-02,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,776,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-01_SCN-01-02_voice-00_internal.mp3,250540afcc745836903760d1f3a7900da5c9a2683e8a82714b8be336d38055c9,222669,24000,55.608,2317,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-02,SCN-GENESIS-001-03;SCN-GENESIS-001-04,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,780,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-02_SCN-03-04_voice-00_internal.mp3,7ba7971769f31d2bf984c8947dcfefebbc9f23fe1dedc35916079da709646c19,259821,24000,64.896,2704,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-03,SCN-GENESIS-001-05;SCN-GENESIS-001-06,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,776,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-03_SCN-05-06_voice-00_internal.mp3,1393a692f3eedf995dbb9625c0f7cc63220c74bcd294a12cf08a6d05f71ba751,240621,24000,60.096,2504,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-04,SCN-GENESIS-001-07;SCN-GENESIS-001-08,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,878,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-04_SCN-07-08_voice-00_internal.mp3,1c5d48b5781378d1ee4e7b518977f5db9e57cd092496023462671df756adc24a,266061,24000,66.456,2769,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-05,SCN-GENESIS-001-09;SCN-GENESIS-001-10,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,869,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-05_SCN-09-10_voice-00_internal.mp3,ce320389cddfbf099b1524c482288d4da331e8ccf34c8612b70b21fada33c159,268749,24000,67.128,2797,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-06,SCN-GENESIS-001-11;SCN-GENESIS-001-12,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,918,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-06_SCN-11-12_voice-00_internal.mp3,8f83f3cc9c0b40b32153540fcae7c462ce2cb3ad2f2d81887310912b8a2356a7,267021,24000,66.696,2779,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-07,SCN-GENESIS-001-13;SCN-GENESIS-001-14;SCN-GENESIS-001-15,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,1347,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-07_SCN-13-15_voice-00_internal.mp3,75311d8650c91cb7c0758f91736ea714e6e3fbb1082876c2720b6a98087f7ce0,386733,24000,96.624,4026,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-08,SCN-GENESIS-001-16;SCN-GENESIS-001-17,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,865,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-08_SCN-16-17_voice-00_internal.mp3,eec9ca55905c74ec152a21b0e4d043db2401b77fe997e5d0d691bee96fb5188e,268749,24000,67.128,2797,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-09,SCN-GENESIS-001-18;SCN-GENESIS-001-19;SCN-GENESIS-001-20,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,1242,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-09_SCN-18-20_voice-00_internal.mp3,de4c864aa63dac817c3e87fd9cafd35c76e4766d9d600cefe9e17f50c5caabb4,385293,24000,96.264,4011,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
GENESIS-001-SEG-10,SCN-GENESIS-001-21;SCN-GENESIS-001-22,scripts/long/GENESIS-001/SCRIPT_DRAFT.md,797,Arena speech synthesis,voice-00,audio/GENESIS-001/internal-chapter-draft/GENESIS-001_SEG-10_SCN-21-22_voice-00_internal.mp3,35c888dbccf4e75d37f79b228be4cb4bc1830d36c7e8d04b1fc6a30f57debc6e,234093,24000,58.464,2436,generated_internal_chapter_draft,pending_human_listen_and_scene_boundary_check,official_arena_terms_reviewed_internal_only_not_final,Regenerated as an internal working set because prior ignored output was unavailable locally. Same contiguous-script grouping as v02; no sample-accurate scene markers; do not distribute or publish.
